Opened Date,Days Since Start Date,Day of Week,# of Cases
2017-12-18,2176,0,117
2017-12-19,2177,1,100
2017-12-20,2178,2,99
2017-12-21,2179,3,103
2017-12-22,2180,4,79
2017-12-25,2183,0,1
2017-12-26,2184,1,68
2017-12-27,2185,2,106
2017-12-28,2186,3,96
2017-12-29,2187,4,87
2018-01-01,2190,0,5
2018-01-02,2191,1,151
2018-01-03,2192,2,158
2018-01-04,2193,3,112
2018-01-05,2194,4,116
2018-01-08,2197,0,130
2018-01-09,2198,1,110
2018-01-10,2199,2,118
2018-01-11,2200,3,124
2018-01-12,2201,4,103
2018-01-15,2204,0,96
2018-01-16,2205,1,119
2018-01-17,2206,2,110
2018-01-18,2207,3,111
2018-01-19,2208,4,124
2018-01-22,2211,0,127
2018-01-23,2212,1,118
2018-01-24,2213,2,118
2018-01-25,2214,3,96
2018-01-26,2215,4,116
2018-01-29,2218,0,119
2018-01-30,2219,1,112
2018-01-31,2220,2,115
2018-02-01,2221,3,130
2018-02-02,2222,4,118
2018-02-05,2225,0,125
2018-02-06,2226,1,102
2018-02-07,2227,2,117
2018-02-08,2228,3,134
2018-02-09,2229,4,96
2018-02-12,2232,0,111
2018-02-13,2233,1,151
2018-02-14,2234,2,94
2018-02-15,2235,3,141
2018-02-16,2236,4,110
2018-02-19,2239,0,87
2018-02-20,2240,1,143
2018-02-21,2241,2,133
2018-02-22,2242,3,106
2018-02-23,2243,4,109
2018-02-26,2246,0,114
2018-02-27,2247,1,105
2018-02-28,2248,2,105
2018-03-01,2249,3,136
2018-03-02,2250,4,129
2018-03-05,2253,0,113
2018-03-06,2254,1,118
2018-03-07,2255,2,125
2018-03-08,2256,3,100
2018-03-09,2257,4,99
2018-03-12,2260,0,125
2018-03-13,2261,1,127
2018-03-14,2262,2,102
2018-03-15,2263,3,145
2018-03-16,2264,4,113
2018-03-19,2267,0,127
2018-03-20,2268,1,127
2018-03-21,2269,2,113
2018-03-22,2270,3,121
2018-03-23,2271,4,107
2018-03-26,2274,0,144
2018-03-27,2275,1,125
2018-03-28,2276,2,107
2018-03-29,2277,3,89
2018-03-30,2278,4,73
2018-04-02,2281,0,104
2018-04-03,2282,1,108
2018-04-04,2283,2,82
2018-04-05,2284,3,86
2018-04-06,2285,4,95
2018-04-09,2288,0,109
2018-04-10,2289,1,110
2018-04-11,2290,2,110
2018-04-12,2291,3,109
2018-04-13,2292,4,100
2018-04-16,2295,0,100
2018-04-17,2296,1,92
2018-04-18,2297,2,92
2018-04-19,2298,3,88
2018-04-20,2299,4,76
2018-04-23,2302,0,99
2018-04-24,2303,1,89
2018-04-25,2304,2,85
2018-04-26,2305,3,83
2018-04-27,2306,4,109
2018-04-30,2309,0,99
2018-05-01,2310,1,114
2018-05-02,2311,2,91
2018-05-03,2312,3,115
